time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.3244377286340533e-05,1.710463103339797e-05,10.003607450093018,0.004705172545915737,0.0036810483996276844,0.0,-0.0008071775185878663,0.0010405198991940156,0.12024136019117247,0.022592049194880642,0.019851528610262126,0.0,442.45696652032245,444.0879273775082,442.3505538379761,444.2066570515996
0.12000000000000001,-0.00015345079363492155,0.00021772503033977723,10.016595056312394,0.011534845108762681,0.005000273565535451,0.0,-0.004015518547406603,0.006408611861725505,0.3126393428669515,0.0470500097530049,0.02275221098757576,0.0,465.7818139719418,466.0085364184575,463.8091785969571,465.72608431792486
0.18,-0.0005182321437765525,0.0008946149402725801,10.041237131723326,0.016548614181382426,0.00636620241950947,0.0,-0.008305125904758306,0.01671887276907735,0.50868751220329,0.062108033001780485,0.020312882482847273,0.0,465.57464143378684,465.3837716249864,467.00058786246996,468.17509545724363
0.23999999999999996,-0.0011399403611694334,0.0022241631170817266,10.072731634471909,0.021564444288701523,0.007815327199121924,0.0,-0.012547873852152532,0.028073205739026955,0.5411044972991832,0.04841119056746746,0.02450561008589066,0.0,415.0613596946855,415.4291523385105,415.80087725574833,414.6019550216376
0.3,-0.0020651992426334144,0.004371261192882394,10.108467172543266,0.024463184351980694,0.01023463213387199,0.0,-0.0185338314277405,0.0437969847978386,0.6500147928346558,0.046357180448122454,0.03404403778038879,0.0,439.79663546029644,440.58605170517455,440.1036405180859,439.9350336243076
0.36000000000000004,-0.003397102632286652,0.007537836764107645,10.150491274110957,0.033427368465686946,0.01240004098259817,0.0,-0.026080622302708786,0.06264267084067165,0.7507000507822059,0.07242169332382803,0.03686535510589866,0.0,436.91469142684247,437.15036351395315,437.21440900323404,439.3824476688575
0.4200000000000001,-0.0052199787888228145,0.011985466549768568,10.197995445013174,0.037768718137233925,0.014675734495894766,0.0,-0.03490562095263663,0.0860427350324416,0.8326967804330666,0.07023798272924932,0.038680642400188064,0.0,432.31899619566735,432.47260975746497,431.4836040671258,431.30336733122056
0.48000000000000015,-0.007688606810284119,0.01803839654832754,10.25338576625056,0.04197580790235822,0.023318671022406257,0.0,-0.04833548798460841,0.11619657548663906,1.013466926400511,0.06827709811494362,0.06505015203832788,0.0,462.0766455888309,464.15181203827626,462.47657093097723,462.32559412371216
0.5400000000000001,-0.011131407659849584,0.025956218874595784,10.318471764060186,0.04835294227523512,0.03115863033396149,0.0,-0.06724886508831945,0.14839738166753388,1.1558790340599003,0.08366284958086721,0.08561838365323148,0.0,450.7268313576506,452.38978540587186,450.82379265666924,452.06922479206315
0.6000000000000002,-0.01588217425433445,0.03593152258221735,10.391886995308814,0.05343868282400965,0.04093468123530286,0.0,-0.09213091224182664,0.18465261470044644,1.2910852997394808,0.07940332215334336,0.10804225104468845,0.0,448.2274140917316,450.053131072776,450.429814441859,450.09064803762493
0.6600000000000003,-0.022265124644896397,0.04810200745868009,10.471719655810768,0.0588578975938745,0.05024408731524854,0.0,-0.12153498665661802,0.22156730383551004,1.3698366530677886,0.06925617931348005,0.12529865439079152,0.0,431.1520140494688,432.6193104161094,433.22849370862264,432.379284927984
0.7200000000000003,-0.030616082432133127,0.06254594128482922,10.55552581012688,0.06301544348134946,0.07542729523076197,0.0,-0.15918543126684057,0.2602805920389547,1.4234663033684005,0.06675114993192775,0.1701550267588474,0.0,422.40313286380876,426.27289928865605,424.9908448433677,424.7798699865919
0.7800000000000004,-0.04168284505267455,0.07940694227835633,10.642716110177675,0.0683930065747429,0.08714702768965843,0.0,-0.21084193904299994,0.3022440690185846,1.4826673443024385,0.07844026003109379,0.15543748157616,0.0,427.85126518089197,426.62383248731925,426.20025161921586,427.2021032186661
0.8400000000000004,-0.056669372951489286,0.09934113677731544,10.739941932824008,0.07381680041800287,0.10097707828623292,0.0,-0.2904188546770849,0.36287023445877226,1.7575820309101646,0.08659532455335381,0.17751510650893337,0.0,491.62268249391394,493.2780737025693,493.39331214408037,493.99957566006896
0.9000000000000005,-0.07680968416698133,0.1230697607904055,10.853789913864418,0.08024920979119798,0.11450639352301639,0.0,-0.38264491377230936,0.4288737017772456,2.036612258044944,0.0731537422548723,0.1576900234047711,0.0,496.1976545319226,494.7650175530551,496.05574110713326,495.07250690909456
0.9600000000000005,-0.1020115930054574,0.15035435803568806,10.977464659820853,0.08472411358028253,0.12396548840119959,0.0,-0.4583063864458887,0.481017346574007,2.085620158344109,0.06852948081586233,0.155409286305405,0.0,426.62959137206104,426.4592843437104,427.4975079248595,427.107489925343
1.0200000000000005,-0.1318946542576393,0.18084310784926624,11.103663797771915,0.09617867544322944,0.1360091940466006,0.0,-0.5388876990038718,0.5363363454533844,2.12067447690681,0.037620958322475084,0.17231180059952272,0.0,422.01352910300506,423.4960311626192,424.4975645619368,421.839653114152
1.0800000000000005,-0.1673244926378881,0.2151301189283822,11.234959397381497,0.10053901829199052,0.16307055184942687,0.0,-0.6449303177577375,0.6069367731880662,2.2550663369514616,0.05235217008986812,0.2159230162554792,0.0,453.8469140769101,457.36669705528215,455.40337011400055,456.5810727273265
1.1400000000000006,-0.20937337165889705,0.2535653722737621,11.372553487060925,0.10406581989060548,0.17635198498841298,0.0,-0.7579907510755793,0.674526766030293,2.330927331491038,0.0580599179797457,0.20835213785335624,0.0,439.5639493849795,438.9816693037644,438.149329971682,438.6255943455301
